Work item ID,Parent,External Task ID,Work type,Summary,Description,Acceptance Criteria,Priority,Story point estimate,Module,Dependency Codes,Responsible Role,Phase,Planned Sprint,Status
1,,EPIC-00,Epic,Foundation & DevOps,"Dung nen tang du an, DevOps, chuan code, response/exception envelope",Hoan thanh toan bo task con cua epic va dat Definition of Done,Highest,,Foundation,,Lead,Phase 0,,Backlog
2,,EPIC-01,Epic,Auth & User Management,"Xac thuc JWT, phan quyen RBAC, ho so, so dia chi",Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,IAM,EPIC-00,Lead,Phase 1,,Backlog
3,,EPIC-02,Epic,Catalog: Category & Brand,Quan ly danh muc long nhau va thuong hieu,Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Catalog,EPIC-00,Lead,Phase 1,,Backlog
4,,EPIC-03,Epic,Catalog: Product / Image / Variant,"Quan ly san pham, anh, bien the",Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Catalog,EPIC-02,Lead,Phase 1,,Backlog
5,,EPIC-04,Epic,Attribute Template & Specs,He thong thuoc tinh dong dac thu nganh dien tu,Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Attribute,EPIC-03,Lead,Phase 1,,Backlog
6,,EPIC-05,Epic,Inventory Management,"Quan ly ton kho, reserve/release, stock movement",Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Inventory,EPIC-03,Lead,Phase 1,,Backlog
7,,EPIC-06,Epic,Cart,Gio hang guest (Redis) va user (DB),Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Cart,EPIC-03;EPIC-01,Lead,Phase 1,,Backlog
8,,EPIC-07,Epic,Promotion & Pricing,"Coupon, khuyen mai, pricing engine",Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Promotion,EPIC-03,Lead,Phase 1,,Backlog
9,,EPIC-08,Epic,Order Management,"Tao don tu gio, state machine, lich su trang thai",Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Order,EPIC-05;EPIC-06;EPIC-07,Lead,Phase 1,,Backlog
10,,EPIC-09,Epic,Payment (COD + chuyen khoan),Thanh toan COD va chuyen khoan theo Strategy,Hoan thanh toan bo task con cua epic va dat Definition of Done,High,,Payment,EPIC-08,Lead,Phase 1,,Backlog
